rank,pipeline,F1-macro (%),Accuracy (%),Precision (%),Recall (%),F1-weighted (%),Train Time (s),Inference (ms)
1,TF-IDF -> None -> Logistic,82.82,88.1,82.46,83.23,88.13,142.69,0.0009
2,TF-IDF -> Chi square -> Logistic,82.52,87.68,82.13,82.98,87.7,60.52,0.0004
3,BoW -> None -> SGD,82.04,87.24,82.21,82.01,87.23,20.37,0.0008
4,BoW -> Chi square -> SGD,81.98,86.92,82.15,82.03,86.91,20.51,0.0004
5,TF-IDF -> None -> SGD,81.73,86.4,81.71,82.11,86.36,26.7,0.0006
6,TF-IDF -> Chi square -> SVM,81.67,86.73,81.74,81.76,86.71,29.88,0.0004
7,TF-IDF -> SVD -> Logistic,81.47,86.42,80.98,82.05,86.45,390.6,0.0056
8,TF-IDF -> None -> SVM,81.41,86.85,81.44,81.44,86.83,70.57,0.001
9,TF-IDF -> Chi square -> SGD,81.4,86,81.44,81.78,85.95,19.41,0.0004
10,BoW -> Chi square -> SVM,80.89,86.26,80.93,80.97,86.23,59.18,0.0004
11,TF-IDF -> SVD -> SVM,80.02,84.77,80.01,80.23,84.74,116.53,0.0052
12,TF-IDF -> SVD -> SGD,79.72,84.36,79.63,80.25,84.33,62.7,0.0047
13,BoW -> SVD -> SVM,79.39,84.09,79.44,79.58,84.03,144.36,0.0072
14,BoW -> SVD -> SGD,79.18,83.86,79.45,79.47,83.8,64.72,0.0048
15,BoW -> None -> SVM,78.61,84.59,78.55,78.67,84.6,142.01,0.0008
16,TF-IDF -> None -> Naive Bayes,75.41,81.43,77.02,74.35,81.1,17.38,0.0006
17,TF-IDF -> Chi square -> Naive Bayes,74.27,80.51,76.5,72.76,80.06,16.2,0.0004
18,BoW -> None -> Naive Bayes,73.32,79.14,72.91,73.9,79.28,16.58,0.0005
19,BoW -> Chi square -> Naive Bayes,72.57,78.32,72.35,72.98,78.39,16.28,0.0004
